Movie,LeadStudio,RottenTomatoes,AudienceScore,Genre,DomesticGross,ForeignGross,Budget,Year
Iron Man 3,Buena Vista,78,80,Action,409.01,806.43,200,2013
Despicable Me 2,Universal,74,85,,368.06,596.7,76,2013
THG: Catching Fire,Lionsgate,90,92,Action,420.02,435.87,130,2013
The Desolation of Smaug,Warner Bros,75,85,,252.33,595,225,2013
Frozen,Buena Vista,89,89,,347.9,462.5,150,2013
Fast & Furious 6,Universal,69,84,Action,238.68,550,160,2013
Monsters University,Buena Vista,78,83,,268.49,475.07,200,2013
Gravity,Warner Bros,97,85,,261.21,427.3,100,2013
Man of Steel,Warner Bros,55,76,Action,291.05,377,225,2013
Thor: The Dark World,Buena Vista,65,83,,204.51,428.4,170,2013
The Croods,Fox,70,79,,187.17,400.04,135,2013
World War Z,Paramount,67,73,,202.36,337.65,190,2013
Oz The Great & Powerful,Buena Vista,59,57,,234.91,258.4,215,2013
Star Trek Into Darkness,Paramount,87,90,,228.78,238.59,190,2013
The Wolverine,Fox,69,70,,132.56,282.27,120,2013
Pacific Rim,Warner Bros,71,78,,101.8,309.2,190,2013
G.I. Joe: Retaliation,Paramount,28,49,,122.52,253.22,130,2013
The Hangover Part III,Warner Bros,19,45,,112.2,249.8,103,2013
Now You See Me,Summit,50,71,Thriller,117.72,234,75,2013
The Great Gatsby,Warner Bros,49,68,,144.84,206.2,105,2013
The Smurfs 2,Sony,14,58,,71.02,276.53,105,2013
The Conjuring,Warner Bros,86,83,Horror,137.4,180.6,20,2013
A Good Day to Die Hard,Fox,14,42,,67.35,237.3,92,2013
Oblivion,Universal,53,61,,89.11,197.06,120,2013
Elysium,TriStar,68,60,,93.05,193.09,115,2013
Turbo,Fox,67,67,,83.03,199.54,135,2013
We're the Millers,Warner Bros,47,73,,150.39,119.6,37,2013
Epic,Fox,64,66,,107.52,160.91,100,2013
The Lone Ranger,Buena Vista,31,55,,89.3,171.2,215,2013
Cloudy with a Chance of Meatballs 2,Sony,70,66,,118.87,138.9,78,2013
The Heat,Fox,66,73,,159.58,70.35,43,2013
Hansel & Gretel,Paramount,15,54,,55.7,170,50,2013
Planes,Buena Vista,26,51,,90.29,129.5,50,2013
White House Down,Sony,50,63,,73.1,132.26,150,2013
Percy Jackson: Sea of Monsters,Fox,40,58,,68.56,131.29,90,2013
Jack the Giant Slayer,Warner Bros,52,56,,65.19,132.5,195,2013
The Wolf of Wall Street,Paramount,77,83,,98.51,77.1,100,2013
Identity Thief,Universal,19,55,,134.51,39.46,35,2013
The Secret Life of Walter Mitty,Fox,48,76,,56.34,112.7,90,2013
Lee Daniels' The Butler,Weinstein,73,80,,116.6,51.11,30,2013
Anchorman 2,Paramount,75,62,,123.8,41.7,50,2013
American Hustle,Sony,93,79,,127,35.4,40,2013
Insidious Chapter 2,FilmDistrict,37,60,,83.59,77.92,5,2013
Olympus Has Fallen,FilmDistrict,48,68,,98.93,62.1,70,2013
Bad Grandpa,Paramount,61,66,,102,47,15,2013
Mama,Universal,66,57,,71.63,74.8,15,2013
Red 2,Summit,42,64,,53.26,88.82,84,2013
2 Guns,Universal,64,68,,75.61,56.33,61,2013
12 years a slave,Fox Searchlight,96,92,Drama,49.28,78.9,20,2013
This is the End,Sony,83,73,,101.47,24.57,32,2013
47 Ronin,Universal,12,56,,38.06,83.7,175,2013
Last Vegas,CBS,47,62,,63.75,53.99,28,2013
Warm Bodies,Summit,80,74,,66.38,50.6,35,2013
Ender's Game,Summit,61,72,,61.74,50.49,110,2013
Gangster Squad,Warner Bros,32,59,,46,59.2,60,2013
Riddick,Universal,58,56,,42.03,56.31,38,2013
Evil Dead,TriStar,62,64,,54.24,43.3,17,2013
42,Warner Bros,78,86,,95.02,,40,2013
Blue Jasmine,Sony,91,81,,33.2,61.6,18,2013
Lone Survivor,Universal,74,,,93.91,,40,2013
The Internship,Fox,34,54,,44.67,48.82,58,2013
Saving Mr. Banks,Buena Vista,81,89,,79.16,12.1,35,2013
Free Birds,Relativity Media,18,47,Animation,55.44,35.4,55,2013
The Mortal Instruments: City of Bones,Sony,12,61,Action,31.17,59.4,60,2013
Rush,Universal,89,92,,26.95,63.3,38,2013
The Purge,Universal,37,37,,64.47,24.86,3,2013
Pain and Gain,Paramount,49,48,,49.88,36.3,26,2013
Philomena,Weinstein,92,91,,33.22,51.65,12,2013
Carrie,Sony,49,48,,35.27,48.76,30,2013
Scary Movie 5,Weinstein,4,41,,32.02,46.36,20,2013
R.I.P.D.,Universal,13,39,,33.62,44.71,130,2013
The Best Man Holiday,Universal,67,90,,70.53,1.1,17,2013
Safe Haven,Relativity Media,12,68,,71.35,0,28,2013
The Counselor,Fox,34,25,,16.97,53.26,25,2013
The Call,TriStar,43,66,,51.87,16.7,13,2013
Side Effects,Open Road,84,71,,32.17,31.2,30,2013
Runner Runner,Fox,9,34,,19.32,43.36,30,2013
Beautiful Creatures,Warner Bros,37,34,,19.45,40.6,60,2013
A Haunted House,Open Road,10,54,,40.04,19.9,2.5,2013
Kick-Ass 2,Universal,29,62,,28.8,30.76,28,2013
Quartet,Weinstein,80,65,,18.39,41.13,11,2013
The Last Stand,Lionsgate,60,55,,12.05,36.28,45,2013
The Host,Open Road,8,50,,26.63,21.6,40,2013
The World's End,Focus,89,73,,26,20.08,20,2013
21 and Over,Relativity Media,28,49,,25.68,19.9,13,2013
Snitch,Summit,56,63,,42.93,,15,2013
Jobs,Open Road,27,85,,16.13,19.8,12,2013
The Place Beyond the Pines,Focus,81,75,,21.4,14.08,15,2013
August: Osage County,Weinstein,65,72,,26.51,8.94,25,2013
Spring Breakers,A24,65,39,,14.12,17.6,5,2013
Homefront,Open Road,40,66,,20.16,11.2,22,2013
Delivery Man,Buena Vista,38,52,,30.13,1.2,26,2013
Dallas Buyers Club,Focus,94,92,Drama,24.85,6,5,2013
Don Jon,Relativity Media,81,64,,24.48,5.97,6,2013
Her,Warner Bros,94,85,Drama,24.12,6.24,23,2013
Movie 43,Relativity Media,4,25,,8.84,21.09,6,2013
Grudge Match,Warner Bros,28,57,,29.24,,40,2013
Mandela: Long Walk to Freedom,Weinstein,58,73,,8.08,19.01,35,2013
Dark Skies,Weinstein,39,50,,17.42,9,3.5,2013
Enough Said,Fox Searchlight,96,78,,17.55,6.87,8,2013
Trance,Fox Searchlight,68,64,,2.33,21.93,20,2013
Inside Llewyn Davis,CBS,94,76,,12,10.1,11,2013
"The Way, Way Back",Fox Searchlight,85,85,,21.51,1.69,4.6,2013
Baggage Claim,Fox Searchlight,14,56,,21.57,0.89,8.5,2013
The Big Wedding,Lionsgate,7,42,,21.82,,35,2013
The Sapphires,Weinstein,91,76,,2.45,17.97,9,2013
Broken City,Fox,28,42,,19.7,,35,2013
The Bling Ring,A24,60,34,,5.85,13.3,8,2013
Dead Man Down,FilmDistrict,38,48,,10.9,7.18,,2013
Admission,Focus,38,34,,18.01,0,13,2013
Fruitvale Station,Weinstein,94,92,,16.1,0.92,1,2013
Battle of the Year,Sony,6,52,,8.89,7.66,20,2013
The Last Exorcism Part II,CBS,16,27,,15.18,,5,2013
Machete Kills,Open Road,29,39,,8.01,7,12,2013
Paranoia,Relativity Media,4,,,7.39,6.4,35,2013
I'm So Excited,Sony,47,38,,1.37,10.36,,2013
Nebraska,Paramount,92,86,,11.72,,12,2013
Out of the Furnace,Relativity Media,52,53,,11.31,,22,2013
Before Midnight,Sony,98,82,,8.11,3.06,3,2013
Getaway,Warner Bros,2,36,,10.5,,18,2013
Bullet to the Head,Warner Bros,46,41,,9.49,,,2013
Black Nativity,Fox Searchlight,48,57,,7.02,0.44,17.5,2013
Blue Is the Warmest Color,IFC,90,87,,2.16,5.18,5.5,2013
Unfinished Song,Weinstein,64,71,,1.7,5.34,,2013
The Spectacular Now,A24,92,,,6.85,,2.5,2013
All Is Lost,Roadside Attractions,93,66,,6.22,,8.5,2013
Closed Circuit,Focus,42,33,,5.75,,19,2013
The Company You Keep,Sony,55,45,,5.13,,2,2013
Oldboy,FilmDistrict,43,37,,2.19,2.67,30,2013
Frances Ha,IFC,93,78,,4.07,,7,2013
Emperor,Roadside Attractions,31,47,,3.35,,,2013
Stand Up Guys,Lionsgate,37,47,,3.31,,1.8,2013
In a World,Roadside Attractions,92,74,,2.96,,1,2013
The East,Fox Searchlight,74,66,,2.3,0.1,6.5,2013
No,Sony,93,79,,2.34,,,2013
Renoir,Samuel Goldwyn,68,57,,2.29,,6,2013
Austenland,Sony,30,60,,2.16,,4.9,2013
The Iceman,Millenium Entertainment,66,63,,1.97,,10,2013
Girl Most Likely,Roadside Attractions,20,35,,1.38,,60,2013
Wadjda,Sony,99,89,,1.35,,,2013
Much Ado About Nothing,Roadside Attractions,84,78,,4.33,,,2013
The Butler,Weinstein,73,79,,116.63,51.11,30,2013
The Canyons,IFC,22,,,0.06,0.14,,2013
The Call,TriStar,43,66,,51.87,16.7,13,2013
The English Teacher,Cinedigm Entertainment,42,,,0.1,0.06,,2013
John Dies at the End,Magnolia,61,53,,0.14,,1,2013
Lovelace,Radius-TWC,55,37,Biography,0.36,1.17,10,2013
